date,team1,team2,1,X,2
2024-05-26,Sevilla,Barcelona,+338,+320,-141
2024-05-26,Celta Vigo,Valencia,-109,+261,+287
2024-05-26,Las Palmas,Alaves,+133,+246,+200
2024-05-26,Getafe,Mallorca,+129,+220,+229
2024-05-25,Real Madrid,Betis,-435,+599,+1002
2024-05-25,Almeria,Cadiz CF,+110,+273,+224
2024-05-25,Rayo Vallecano,Ath Bilbao,+218,+223,+136
2024-05-25,Real Sociedad,Atl. Madrid,+163,+234,+170
2024-05-25,Osasuna,Villarreal,+156,+272,+154
2024-05-24,Girona,Granada CF,-476,+613,+1063
2024-05-19,Ath Bilbao,Sevilla,-172,+316,+472
2024-05-19,Atl. Madrid,Osasuna,-312,+434,+872
2024-05-19,Barcelona,Rayo Vallecano,-312,+463,+774
2024-05-19,Betis,Real Sociedad,+222,+202,+149
2024-05-19,Cadiz CF,Las Palmas,-111,+240,+341
2024-05-19,Granada CF,Celta Vigo,+263,+240,+112
2024-05-19,Mallorca,Almeria,-238,+342,+793
2024-05-19,Valencia,Girona,+274,+273,-106
2024-05-19,Villarreal,Real Madrid,+208,+294,+114
2024-05-18,Alaves,Getafe,-101,+231,+320
2024-05-16,Real Sociedad,Valencia,-204,+313,+636
2024-05-16,Almeria,Barcelona,+598,+425,-250
2024-05-16,Las Palmas,Betis,+229,+231,+129
2024-05-15,Celta Vigo,Ath Bilbao,+139,+231,+210
2024-05-15,Getafe,Atl. Madrid,+400,+267,-132
2024-05-15,Rayo Vallecano,Granada CF,-179,+300,+558
2024-05-15,Sevilla,Cadiz CF,+108,+243,+267
2024-05-14,Girona,Villarreal,-141,+346,+328
2024-05-14,Real Madrid,Alaves,-455,+594,+1161
2024-05-14,Osasuna,Mallorca,+173,+189,+196
2024-05-13,Barcelona,Real Sociedad,-139,+287,+388
2024-05-12,Betis,Almeria,-263,+413,+650
2024-05-12,Valencia,Rayo Vallecano,+125,+209,+256
2024-05-12,Atl. Madrid,Celta Vigo,-250,+383,+677
2024-05-12,Cadiz CF,Girona,+110,+219,+285
2024-05-11,Ath Bilbao,Osasuna,-244,+355,+748
2024-05-11,Granada CF,Real Madrid,+455,+349,-182
2024-05-11,Villarreal,Sevilla,+100,+279,+252
2024-05-11,Mallorca,Las Palmas,-154,+252,+537
2024-05-10,Alaves,Getafe,+212,+256,+125
2024-05-05,Rayo Vallecano,Almeria,-154,+285,+451
2024-05-05,Sevilla,Granada CF,-145,+291,+388
2024-05-05,Valencia,Alaves,+123,+206,+267
2024-05-05,Celta Vigo,Villarreal,+167,+259,+154
2024-05-05,Osasuna,Betis,+229,+222,+129
2024-05-04,Mallorca,Atl. Madrid,+288,+204,+117
2024-05-04,Girona,Barcelona,+183,+277,+134
2024-05-04,Real Madrid,Cadiz CF,-286,+392,+828
2024-05-04,Real Sociedad,Las Palmas,-312,+401,+953
2024-05-03,Getafe,Ath Bilbao,+280,+214,+114
2024-04-29,Barcelona,Valencia,-312,+451,+761
2024-04-28,Betis,Sevilla,-102,+240,+292
2024-04-28,Villarreal,Rayo Vallecano,-128,+272,+358
2024-04-28,Granada CF,Osasuna,+139,+204,+229
2024-04-28,Cadiz CF,Mallorca,+177,+179,+200
2024-04-27,Atl. Madrid,Ath Bilbao,-105,+242,+309
2024-04-27,Alaves,Celta Vigo,+162,+209,+188
2024-04-27,Almeria,Getafe,+158,+224,+185
2024-04-27,Las Palmas,Girona,+396,+305,-152
2024-04-26,Real Sociedad,Real Madrid,+135,+216,+220
2024-04-22,Sevilla,Mallorca,+108,+206,+300
2024-04-21,Real Madrid,Barcelona,-133,+321,+322
2024-04-21,Alaves,Atl. Madrid,+379,+247,-123
2024-04-21,Almeria,Villarreal,+243,+293,-103
2024-04-21,Getafe,Real Sociedad,+274,+204,+121
2024-04-20,Girona,Cadiz CF,-256,+380,+691
2024-04-20,Valencia,Betis,+172,+206,+184
2024-04-20,Rayo Vallecano,Osasuna,+110,+204,+305
2024-04-20,Celta Vigo,Las Palmas,-149,+285,+423
2024-04-19,Ath Bilbao,Granada CF,-345,+450,+976
2024-04-15,Osasuna,Valencia,+138,+199,+238
2024-04-14,Real Sociedad,Almeria,-333,+433,+991
2024-04-14,Ath Bilbao,Villarreal,-169,+312,+437
2024-04-14,Granada CF,Alaves,+172,+204,+183
2024-04-14,Las Palmas,Sevilla,+175,+223,+165
2024-04-13,Cadiz CF,Barcelona,+261,+243,+106
2024-04-13,Mallorca,Real Madrid,+404,+257,-133
2024-04-13,Rayo Vallecano,Getafe,+141,+198,+231
2024-04-13,Atl. Madrid,Girona,-112,+277,+287
2024-04-12,Betis,Celta Vigo,-109,+254,+307
2024-04-04,Granada CF,Valencia,+206,+206,+148
2024-04-01,Villarreal,Atl. Madrid,+227,+261,+112
2024-03-31,Real Madrid,Ath Bilbao,-172,+320,+476
2024-03-31,Alaves,Real Sociedad,+294,+196,+118
2024-03-31,Getafe,Barcelona,-141,+301,+363
2024-03-31,Celta Vigo,Rayo Vallecano,-110,+249,+323
2024-03-30,Barcelona,Las Palmas,-385,+533,+933
2024-03-30,Valencia,Mallorca,+112,+196,+305
2024-03-30,Almeria,Osasuna,+150,+220,+197
2024-03-30,Getafe,Sevilla,+163,+200,+200
2024-03-29,Cadiz CF,Granada CF,-110,+220,+378
2024-03-17,Atl. Madrid,Barcelona,+122,+256,+215
2024-03-17,Rayo Vallecano,Betis,+154,+206,+204
2024-03-17,Las Palmas,Almeria,-130,+282,+346
2024-03-17,Villarreal,Valencia,+119,+236,+234
2024-03-17,Sevilla,Celta Vigo,-104,+250,+292
2024-03-16,Ath Bilbao,Alaves,-169,+274,+539
2024-03-16,Getafe,Girona,+259,+241,+108
2024-03-16,Osasuna,Real Madrid,+586,+340,-208
2024-03-16,Mallorca,Granada CF,-122,+231,+399
2024-03-15,Real Sociedad,Cadiz,+233,+317,+828
2024-03-11,Almeria,Sevilla,+240,+231,+118
2024-03-10,Betis,Valencia,+112,+254,+234
2024-03-10,Real Madrid,Celta Vigo,+323,+465,+819
